issue,cluster
1,2
2,1
3,4
4,4
5,
6,4
7,3
8,1
9,3
10,5
11,2
12,1
13,1
14,5
15,5
16,
17,1
18,1
19,
20,5
21,1
22,5
23,
24,1
25,1
26,1
27,1
28,
29,
30,
31,
32,1
33,2
34,1
35,1
36,2
37,1
38,5
39,5
40,5
41,5
42,
43,5
44,2
45,
46,1
47,1
